,year,date,team,final
0,1999,1999 NFC Wild Card Game,Detroit(8-8),13
1,1999,1999 NFC Wild Card Game,Washington(10-6),27
2,1999,1999 NFC Divisional Playoff Game,Washington(10-6),13
3,1999,1999 NFC Divisional Playoff Game,Tampa Bay(11-5),14
4,1999,Sun 9/12,Dallas(1-0),41
5,1999,Sun 9/12,Washington(0-1),35
6,1999,Sun 9/19,Washington(1-1),50
7,1999,Sun 9/19,NY Giants(1-1),21
8,1999,Sun 9/26,Washington(2-1),27
9,1999,Sun 9/26,NY Jets(0-3),20
10,1999,Sun 10/3,Carolina(1-3),36
11,1999,Sun 10/3,Washington(3-1),38
12,1999,Sun 10/17,Washington(4-1),24
13,1999,Sun 10/17,Arizona(2-4),10
14,1999,Sun 10/24,Washington(4-2),20
15,1999,Sun 10/24,Dallas(4-2),38
16,1999,Sun 10/31,Chicago(3-5),22
17,1999,Sun 10/31,Washington(5-2),48
18,1999,Sun 11/7,Buffalo(6-3),34
19,1999,Sun 11/7,Washington(5-3),17
20,1999,Sun 11/14,Washington(5-4),28
21,1999,Sun 11/14,Philadelphia(3-7),35
22,1999,Sun 11/21,NY Giants(5-5),13
23,1999,Sun 11/21,Washington(6-4),23
24,1999,Sun 11/28,Philadelphia(3-9),17
25,1999,Sun 11/28,Washington(7-4),20
26,1999,Sun 12/5,Washington(7-5),17
27,1999,Sun 12/5,Detroit(8-4),33
28,1999,Sun 12/12,Arizona(6-7),3
29,1999,Sun 12/12,Washington(8-5),28
30,1999,Sun 12/19,Washington(8-6),21
31,1999,Sun 12/19,Indianapolis(12-2),24
32,1999,Sun 12/26,Washington(9-6),26
33,1999,Sun 12/26,San Francisco(4-11),20
34,1999,Sun 1/2,Miami(9-7),10
35,1999,Sun 1/2,Washington(10-6),21
36,1999,"Friday, August 13, 1999",Washington(1-0),20
37,1999,"Friday, August 13, 1999",New England(0-1),14
38,1999,"Friday, August 20, 1999",Buffalo(1-1),19
39,1999,"Friday, August 20, 1999",Washington(2-0),20
40,1999,"Saturday, August 28, 1999",Washington(3-0),27
41,1999,"Saturday, August 28, 1999",Pittsburgh(1-2),14
42,1999,"Friday, September 3, 1999",Tampa Bay(4-0),16
43,1999,"Friday, September 3, 1999",Washington(3-1),13
