,year,date,team,final
0,2007,2007 NFC Wild Card Game,Washington(9-7),14
1,2007,2007 NFC Wild Card Game,Seattle(10-6),35
2,2007,Sun 9/9,Miami(0-1),13
3,2007,Sun 9/9,Washington(1-0),16
4,2007,Mon 9/17,Washington(2-0),20
5,2007,Mon 9/17,Philadelphia(0-2),12
6,2007,Sun 9/23,NY Giants(1-2),24
7,2007,Sun 9/23,Washington(2-1),17
8,2007,Sun 10/7,Detroit(3-2),3
9,2007,Sun 10/7,Washington(3-1),34
10,2007,Sun 10/14,Washington(3-2),14
11,2007,Sun 10/14,Green Bay(5-1),17
12,2007,Sun 10/21,Arizona(3-4),19
13,2007,Sun 10/21,Washington(4-2),21
14,2007,Sun 10/28,Washington(4-3),7
15,2007,Sun 10/28,New England(8-0),52
16,2007,Sun 11/4,Washington(5-3),23
17,2007,Sun 11/4,NY Jets(1-8),20
18,2007,Sun 11/11,Philadelphia(4-5),33
19,2007,Sun 11/11,Washington(5-4),25
20,2007,Sun 11/18,Washington(5-5),23
21,2007,Sun 11/18,Dallas(9-1),28
22,2007,Sun 11/25,Washington(5-6),13
23,2007,Sun 11/25,Tampa Bay(7-4),19
24,2007,Sun 12/2,Buffalo(6-6),17
25,2007,Sun 12/2,Washington(5-7),16
26,2007,Thu 12/6,Chicago(5-8),16
27,2007,Thu 12/6,Washington(6-7),24
28,2007,Sun 12/16,Washington(7-7),22
29,2007,Sun 12/16,NY Giants(9-5),10
30,2007,Sun 12/23,Washington(8-7),32
31,2007,Sun 12/23,Minnesota(8-7),21
32,2007,Sun 12/30,Dallas(13-3),6
33,2007,Sun 12/30,Washington(9-7),27
34,2007,Sat 8/11,Washington(1-0),14
35,2007,Sat 8/11,Tennessee(0-1),6
36,2007,Sat 8/18,Pittsburgh(2-1),12
37,2007,Sat 8/18,Washington(1-1),10
38,2007,Sat 8/25,Baltimore(1-2),7
39,2007,Sat 8/25,Washington(2-1),13
40,2007,Thu 8/30,Washington(2-2),14
41,2007,Thu 8/30,Jacksonville(3-1),31
