,year,date,team,final
0,1983,1983 NFC Divisional Playoff Game,LA Rams(9-7),7
1,1983,1983 NFC Divisional Playoff Game,Washington(14-2),51
2,1983,1983 NFC Championship Game,San Francisco(10-6),21
3,1983,1983 NFC Championship Game,Washington(14-2),24
4,1983,Super Bowl XVIII,Washington(14-2),9
5,1983,Super Bowl XVIII,LA Raiders(12-4),38
6,1983,Mon 9/5,Dallas(1-0),31
7,1983,Mon 9/5,Washington(0-1),30
8,1983,Sun 9/11,Washington(1-1),23
9,1983,Sun 9/11,Philadelphia(1-1),13
10,1983,Sun 9/18,Kansas City(1-2),12
11,1983,Sun 9/18,Washington(2-1),27
12,1983,Sun 9/25,Washington(3-1),27
13,1983,Sun 9/25,Seattle(2-2),17
14,1983,Sun 10/2,LA Raiders(4-1),35
15,1983,Sun 10/2,Washington(4-1),37
16,1983,Sun 10/9,Washington(5-1),38
17,1983,Sun 10/9,St. Louis(1-5),14
18,1983,Mon 10/17,Washington(5-2),47
19,1983,Mon 10/17,Green Bay(4-3),48
20,1983,Sun 10/23,Detroit(3-5),17
21,1983,Sun 10/23,Washington(6-2),38
22,1983,Mon 10/31,Washington(7-2),27
23,1983,Mon 10/31,San Diego(3-6),24
24,1983,Sun 11/6,St. Louis(3-6-1),7
25,1983,Sun 11/6,Washington(8-2),45
26,1983,Sun 11/13,Washington(9-2),33
27,1983,Sun 11/13,NY Giants(2-8-1),17
28,1983,Sun 11/20,Washington(10-2),42
29,1983,Sun 11/20,LA Rams(7-5),20
30,1983,Sun 11/27,Philadelphia(4-9),24
31,1983,Sun 11/27,Washington(11-2),28
32,1983,Sun 12/4,Atlanta(6-8),21
33,1983,Sun 12/4,Washington(12-2),37
34,1983,Sun 12/11,Washington(13-2),31
35,1983,Sun 12/11,Dallas(12-3),10
36,1983,Sat 12/17,NY Giants(3-12-1),22
37,1983,Sat 12/17,Washington(14-2),31
38,1983,"Saturday, August 6, 1983",Washington(0-1),10
39,1983,"Saturday, August 6, 1983",Atlanta(1-0),13
40,1983,"Friday, August 12, 1983",Cincinnati(0-2),23
41,1983,"Friday, August 12, 1983",Washington(1-1),27
42,1983,"Friday, August 19, 1983",Miami(1-2),38
43,1983,"Friday, August 19, 1983",Washington(1-2),7
44,1983,"Friday, August 26, 1983",Washington(2-2),27
45,1983,"Friday, August 26, 1983",Buffalo(1-3),19
