,year,date,team,q1,q2,q3,q4,final
0,1979,Sun 9/2,Houston(1-0),6,0,7,16,29
1,1979,Sun 9/2,Washington(0-1),0,17,7,3,27
2,1979,Sun 9/9,Houston(1-0),6,0,7,16,29
3,1979,Sun 9/9,Washington(0-1),0,17,7,3,27
4,1979,Mon 9/17,Houston(1-0),6,0,7,16,29
5,1979,Mon 9/17,Washington(0-1),0,17,7,3,27
6,1979,Sun 9/23,Houston(1-0),6,0,7,16,29
7,1979,Sun 9/23,Washington(0-1),0,17,7,3,27
8,1979,Sun 9/30,Houston(1-0),6,0,7,16,29
9,1979,Sun 9/30,Washington(0-1),0,17,7,3,27
10,1979,Sun 10/7,Houston(1-0),6,0,7,16,29
11,1979,Sun 10/7,Washington(0-1),0,17,7,3,27
12,1979,Sun 10/14,Houston(1-0),6,0,7,16,29
13,1979,Sun 10/14,Washington(0-1),0,17,7,3,27
14,1979,Sun 10/21,Houston(1-0),6,0,7,16,29
15,1979,Sun 10/21,Washington(0-1),0,17,7,3,27
16,1979,Sun 10/28,Houston(1-0),6,0,7,16,29
17,1979,Sun 10/28,Washington(0-1),0,17,7,3,27
18,1979,Sun 11/4,Houston(1-0),6,0,7,16,29
19,1979,Sun 11/4,Washington(0-1),0,17,7,3,27
20,1979,Sun 11/11,Houston(1-0),6,0,7,16,29
21,1979,Sun 11/11,Washington(0-1),0,17,7,3,27
22,1979,Sun 11/18,Houston(1-0),6,0,7,16,29
23,1979,Sun 11/18,Washington(0-1),0,17,7,3,27
24,1979,Sun 11/25,Houston(1-0),6,0,7,16,29
25,1979,Sun 11/25,Washington(0-1),0,17,7,3,27
26,1979,Sun 12/2,Houston(1-0),6,0,7,16,29
27,1979,Sun 12/2,Washington(0-1),0,17,7,3,27
28,1979,Sun 12/9,Houston(1-0),6,0,7,16,29
29,1979,Sun 12/9,Washington(0-1),0,17,7,3,27
30,1979,Sun 12/16,Houston(1-0),6,0,7,16,29
31,1979,Sun 12/16,Washington(0-1),0,17,7,3,27
32,1979,"Saturday, August 4, 1979",Houston(1-0),6,0,7,16,29
33,1979,"Saturday, August 4, 1979",Washington(0-1),0,17,7,3,27
34,1979,"Saturday, August 11, 1979",Houston(1-0),6,0,7,16,29
35,1979,"Saturday, August 11, 1979",Washington(0-1),0,17,7,3,27
36,1979,"Saturday, August 18, 1979",Houston(1-0),6,0,7,16,29
37,1979,"Saturday, August 18, 1979",Washington(0-1),0,17,7,3,27
38,1979,"Friday, August 24, 1979",Houston(1-0),6,0,7,16,29
39,1979,"Friday, August 24, 1979",Washington(0-1),0,17,7,3,27
