,year,date,team,final
0,2017,Sun 9/10,Philadelphia(1-0),30
1,2017,Sun 9/10,Washington(0-1),17
2,2017,Sun 9/17,Washington(1-1),27
3,2017,Sun 9/17,LA Rams(1-1),20
4,2017,Sun 9/24,Oakland(2-1),10
5,2017,Sun 9/24,Washington(2-1),27
6,2017,Mon 10/2,Washington(2-2),20
7,2017,Mon 10/2,Kansas City(4-0),29
8,2017,Sun 10/15,San Francisco(0-6),24
9,2017,Sun 10/15,Washington(3-2),26
10,2017,Mon 10/23,Washington(3-3),24
11,2017,Mon 10/23,Philadelphia(6-1),34
12,2017,Sun 10/29,Dallas(4-3),33
13,2017,Sun 10/29,Washington(3-4),19
14,2017,Sun 11/5,Washington(4-4),17
15,2017,Sun 11/5,Seattle(5-3),14
16,2017,Sun 11/12,Minnesota(7-2),38
17,2017,Sun 11/12,Washington(4-5),30
18,2017,Sun 11/19,Washington(4-6),31
19,2017,Sun 11/19,New Orleans(8-2),34
20,2017,Thu 11/23,NY Giants(2-9),10
21,2017,Thu 11/23,Washington(5-6),20
22,2017,Thu 11/30,Washington(5-7),14
23,2017,Thu 11/30,Dallas(6-6),38
24,2017,Sun 12/10,Washington(5-8),13
25,2017,Sun 12/10,LA Chargers(7-6),30
26,2017,Sun 12/17,Arizona(6-8),15
27,2017,Sun 12/17,Washington(6-8),20
28,2017,Sun 12/24,Denver(5-10),11
29,2017,Sun 12/24,Washington(7-8),27
30,2017,Sun 12/31,Washington(7-9),10
31,2017,Sun 12/31,NY Giants(3-13),18
32,2017,Thu 8/10,Washington(0-1),3
33,2017,Thu 8/10,Baltimore(1-0),23
34,2017,Sat 8/19,Green Bay(2-0),21
35,2017,Sat 8/19,Washington(0-2),17
36,2017,Sun 8/27,Cincinnati(1-2),17
37,2017,Sun 8/27,Washington(1-2),23
38,2017,Thu 8/31,Washington(2-2),13
39,2017,Thu 8/31,Tampa Bay(1-3),10
