,year,date,team,q1,q2,q3,q4,final
0,1991,1991 NFC Divisional Playoff Game,Atlanta(10-6),0,7,0,0,7
1,1991,1991 NFC Divisional Playoff Game,Washington(14-2),0,14,3,7,24
2,1991,1991 NFC Championship Game,Atlanta(10-6),0,7,0,0,7
3,1991,1991 NFC Championship Game,Washington(14-2),0,14,3,7,24
4,1991,Super Bowl XXVI,Atlanta(10-6),0,7,0,0,7
5,1991,Super Bowl XXVI,Washington(14-2),0,14,3,7,24
6,1991,Sun 9/1,Atlanta(10-6),0,7,0,0,7
7,1991,Sun 9/1,Washington(14-2),0,14,3,7,24
8,1991,Mon 9/9,Atlanta(10-6),0,7,0,0,7
9,1991,Mon 9/9,Washington(14-2),0,14,3,7,24
10,1991,Sun 9/15,Atlanta(10-6),0,7,0,0,7
11,1991,Sun 9/15,Washington(14-2),0,14,3,7,24
12,1991,Sun 9/22,Atlanta(10-6),0,7,0,0,7
13,1991,Sun 9/22,Washington(14-2),0,14,3,7,24
14,1991,Mon 9/30,Atlanta(10-6),0,7,0,0,7
15,1991,Mon 9/30,Washington(14-2),0,14,3,7,24
16,1991,Sun 10/6,Atlanta(10-6),0,7,0,0,7
17,1991,Sun 10/6,Washington(14-2),0,14,3,7,24
18,1991,Sun 10/13,Atlanta(10-6),0,7,0,0,7
19,1991,Sun 10/13,Washington(14-2),0,14,3,7,24
20,1991,Sun 10/27,Atlanta(10-6),0,7,0,0,7
21,1991,Sun 10/27,Washington(14-2),0,14,3,7,24
22,1991,Sun 11/3,Atlanta(10-6),0,7,0,0,7
23,1991,Sun 11/3,Washington(14-2),0,14,3,7,24
24,1991,Sun 11/10,Atlanta(10-6),0,7,0,0,7
25,1991,Sun 11/10,Washington(14-2),0,14,3,7,24
26,1991,Sun 11/17,Atlanta(10-6),0,7,0,0,7
27,1991,Sun 11/17,Washington(14-2),0,14,3,7,24
28,1991,Sun 11/24,Atlanta(10-6),0,7,0,0,7
29,1991,Sun 11/24,Washington(14-2),0,14,3,7,24
30,1991,Sun 12/1,Atlanta(10-6),0,7,0,0,7
31,1991,Sun 12/1,Washington(14-2),0,14,3,7,24
32,1991,Sun 12/8,Atlanta(10-6),0,7,0,0,7
33,1991,Sun 12/8,Washington(14-2),0,14,3,7,24
34,1991,Sun 12/15,Atlanta(10-6),0,7,0,0,7
35,1991,Sun 12/15,Washington(14-2),0,14,3,7,24
36,1991,Sun 12/22,Atlanta(10-6),0,7,0,0,7
37,1991,Sun 12/22,Washington(14-2),0,14,3,7,24
38,1991,"Sunday, August 4, 1991",Atlanta(10-6),0,7,0,0,7
39,1991,"Sunday, August 4, 1991",Washington(14-2),0,14,3,7,24
40,1991,"Saturday, August 10, 1991",Atlanta(10-6),0,7,0,0,7
41,1991,"Saturday, August 10, 1991",Washington(14-2),0,14,3,7,24
42,1991,"Friday, August 16, 1991",Atlanta(10-6),0,7,0,0,7
43,1991,"Friday, August 16, 1991",Washington(14-2),0,14,3,7,24
44,1991,"Saturday, August 24, 1991",Atlanta(10-6),0,7,0,0,7
45,1991,"Saturday, August 24, 1991",Washington(14-2),0,14,3,7,24
