,year,date,team,final
0,1994,Sun 9/4,Seattle(1-0),28
1,1994,Sun 9/4,Washington(0-1),7
2,1994,Sun 9/11,Washington(1-1),38
3,1994,Sun 9/11,New Orleans(0-2),24
4,1994,Sun 9/18,Washington(1-2),23
5,1994,Sun 9/18,NY Giants(3-0),31
6,1994,Sun 9/25,Atlanta(2-2),27
7,1994,Sun 9/25,Washington(1-3),20
8,1994,Sun 10/2,Dallas(3-1),34
9,1994,Sun 10/2,Washington(1-4),7
10,1994,Sun 10/9,Washington(1-5),17
11,1994,Sun 10/9,Philadelphia(4-1),21
12,1994,Sun 10/16,Arizona(2-4),19
13,1994,Sun 10/16,Washington(1-6),16
14,1994,Sun 10/23,Washington(2-6),41
15,1994,Sun 10/23,Indianapolis(3-5),27
16,1994,Sun 10/30,Philadelphia(6-2),31
17,1994,Sun 10/30,Washington(2-7),29
18,1994,Sun 11/6,San Francisco(7-2),37
19,1994,Sun 11/6,Washington(2-8),22
20,1994,Sun 11/20,Washington(2-9),7
21,1994,Sun 11/20,Dallas(9-2),31
22,1994,Sun 11/27,NY Giants(5-7),21
23,1994,Sun 11/27,Washington(2-10),19
24,1994,Sun 12/4,Washington(2-11),21
25,1994,Sun 12/4,Tampa Bay(4-9),26
26,1994,Sun 12/11,Washington(2-12),15
27,1994,Sun 12/11,Arizona(7-7),17
28,1994,Sun 12/18,Tampa Bay(6-9),17
29,1994,Sun 12/18,Washington(2-13),14
30,1994,Sat 12/24,Washington(3-13),24
31,1994,Sat 12/24,LA Rams(4-12),21
32,1994,"Monday, August 8, 1994",Washington(0-1),11
33,1994,"Monday, August 8, 1994",Buffalo(1-0),13
34,1994,"Friday, August 12, 1994",Kansas City(2-1),17
35,1994,"Friday, August 12, 1994",Washington(0-2),14
36,1994,"Thursday, August 18, 1994",Washington(0-3),17
37,1994,"Thursday, August 18, 1994",New England(3-0),27
38,1994,"Friday, August 26, 1994",Pittsburgh(1-3),21
39,1994,"Friday, August 26, 1994",Washington(1-3),22
