,year,date,team,final
0,2021,Sun 9/12,LA Chargers(1-0),20
1,2021,Sun 9/12,Washington(0-1),16
2,2021,Thu 9/16,NY Giants(0-2),29
3,2021,Thu 9/16,Washington(1-1),30
4,2021,Sun 9/26,Washington(1-2),21
5,2021,Sun 9/26,Buffalo(2-1),43
6,2021,Sun 10/3,Washington(2-2),34
7,2021,Sun 10/3,Atlanta(1-3),30
8,2021,Sun 10/10,New Orleans(3-2),33
9,2021,Sun 10/10,Washington(2-3),22
10,2021,Sun 10/17,Kansas City(3-3),31
11,2021,Sun 10/17,Washington(2-4),13
12,2021,Sun 10/24,Washington(2-5),10
13,2021,Sun 10/24,Green Bay(6-1),24
14,2021,Sun 10/31,Washington(2-6),10
15,2021,Sun 10/31,Denver(4-4),17
16,2021,Sun 11/14,Tampa Bay(6-3),19
17,2021,Sun 11/14,Washington(3-6),29
18,2021,Sun 11/21,Washington(4-6),27
19,2021,Sun 11/21,Carolina(5-6),21
20,2021,Mon 11/29,Seattle(3-8),15
21,2021,Mon 11/29,Washington(5-6),17
22,2021,Sun 12/5,Washington(6-6),17
23,2021,Sun 12/5,Las Vegas(6-6),15
24,2021,Sun 12/12,Dallas(9-4),27
25,2021,Sun 12/12,Washington(6-7),20
26,2021,Tue 12/21,Washington(6-8),17
27,2021,Tue 12/21,Philadelphia(7-7),27
28,2021,Sun 12/26,Washington(6-9),14
29,2021,Sun 12/26,Dallas(11-4),56
30,2021,Sun 1/2,Philadelphia(9-7),20
31,2021,Sun 1/2,Washington(6-10),16
32,2021,Sun 1/9,Washington(7-10),22
33,2021,Sun 1/9,NY Giants(4-13),7
34,2021,Thu 8/12,Washington(0-1),13
35,2021,Thu 8/12,New England(1-0),22
36,2021,Fri 8/20,Cincinnati(1-1),13
37,2021,Fri 8/20,Washington(1-1),17
38,2021,Sat 8/28,Baltimore(3-0),37
39,2021,Sat 8/28,Washington(1-2),3
