,year,date,team,final
0,1980,Mon 9/8,Dallas(1-0),17
1,1980,Mon 9/8,Washington(0-1),3
2,1980,Sun 9/14,Washington(1-1),23
3,1980,Sun 9/14,NY Giants(1-1),21
4,1980,Sun 9/21,Washington(1-2),21
5,1980,Sun 9/21,Oakland(2-1),24
6,1980,Sun 9/28,Seattle(2-2),14
7,1980,Sun 9/28,Washington(1-3),0
8,1980,Sun 10/5,Washington(1-4),14
9,1980,Sun 10/5,Philadelphia(4-1),24
10,1980,Mon 10/13,Washington(1-5),17
11,1980,Mon 10/13,Denver(3-3),20
12,1980,Sun 10/19,St. Louis(2-5),0
13,1980,Sun 10/19,Washington(2-5),23
14,1980,Sun 10/26,New Orleans(0-8),14
15,1980,Sun 10/26,Washington(3-5),22
16,1980,Sun 11/2,Minnesota(4-5),39
17,1980,Sun 11/2,Washington(3-6),14
18,1980,Sun 11/9,Washington(3-7),21
19,1980,Sun 11/9,Chicago(4-6),35
20,1980,Sun 11/16,Philadelphia(10-1),24
21,1980,Sun 11/16,Washington(3-8),0
22,1980,Sun 11/23,Washington(3-9),10
23,1980,Sun 11/23,Dallas(9-3),14
24,1980,Sun 11/30,Washington(3-10),6
25,1980,Sun 11/30,Atlanta(10-3),10
26,1980,Sun 12/7,San Diego(9-5),17
27,1980,Sun 12/7,Washington(4-10),40
28,1980,Sat 12/13,NY Giants(4-11),13
29,1980,Sat 12/13,Washington(5-10),16
30,1980,Sun 12/21,Washington(6-10),31
31,1980,Sun 12/21,St. Louis(5-11),7
32,1980,"Saturday, August 9, 1980",Washington(1-0),13
33,1980,"Saturday, August 9, 1980",Baltimore(0-1),3
34,1980,"Monday, August 18, 1980",Washington(2-0),12
35,1980,"Monday, August 18, 1980",Cleveland(0-2),3
36,1980,"Saturday, August 23, 1980",Oakland(1-2),17
37,1980,"Saturday, August 23, 1980",Washington(3-0),34
38,1980,"Friday, August 29, 1980",Washington(3-1),6
39,1980,"Friday, August 29, 1980",Tampa Bay(3-1),11
