,year,date,team,final
0,1975,Sun 9/21,New Orleans(0-1),3
1,1975,Sun 9/21,Washington(1-0),41
2,1975,Sun 9/28,NY Giants(1-1),13
3,1975,Sun 9/28,Washington(2-0),49
4,1975,Sun 10/5,Washington(2-1),10
5,1975,Sun 10/5,Philadelphia(1-2),26
6,1975,Mon 10/13,St. Louis(2-2),17
7,1975,Mon 10/13,Washington(3-1),27
8,1975,Sun 10/19,Washington(3-2),10
9,1975,Sun 10/19,Houston(4-1),13
10,1975,Sun 10/26,Washington(4-2),23
11,1975,Sun 10/26,Cleveland(0-6),7
12,1975,Sun 11/2,Dallas(5-2),24
13,1975,Sun 11/2,Washington(5-2),30
14,1975,Sun 11/9,Washington(6-2),21
15,1975,Sun 11/9,NY Giants(3-5),13
16,1975,Sun 11/16,Washington(6-3),17
17,1975,Sun 11/16,St. Louis(7-2),20
18,1975,Sun 11/23,Oakland(8-2),26
19,1975,Sun 11/23,Washington(6-4),23
20,1975,Sun 11/30,Minnesota(10-1),30
21,1975,Sun 11/30,Washington(7-4),31
22,1975,Sun 12/7,Washington(8-4),30
23,1975,Sun 12/7,Atlanta(3-9),27
24,1975,Sat 12/13,Washington(8-5),10
25,1975,Sat 12/13,Dallas(9-4),31
26,1975,Sun 12/21,Philadelphia(4-10),26
27,1975,Sun 12/21,Washington(8-6),3
