,year,date,team,final
0,1978,Sun 9/3,Washington(1-0),16
1,1978,Sun 9/3,New England(0-1),14
2,1978,Sun 9/10,Philadelphia(0-2),30
3,1978,Sun 9/10,Washington(2-0),35
4,1978,Sun 9/17,Washington(3-0),28
5,1978,Sun 9/17,St. Louis(0-3),10
6,1978,Sun 9/24,NY Jets(2-2),3
7,1978,Sun 9/24,Washington(4-0),23
8,1978,Mon 10/2,Dallas(3-2),5
9,1978,Mon 10/2,Washington(5-0),9
10,1978,Sun 10/8,Washington(6-0),21
11,1978,Sun 10/8,Detroit(1-5),19
12,1978,Sun 10/15,Washington(6-1),10
13,1978,Sun 10/15,Philadelphia(4-3),17
14,1978,Sun 10/22,Washington(6-2),6
15,1978,Sun 10/22,NY Giants(5-3),17
16,1978,Sun 10/29,San Francisco(1-8),20
17,1978,Sun 10/29,Washington(7-2),38
18,1978,Mon 11/6,Washington(7-3),17
19,1978,Mon 11/6,Baltimore(4-6),21
20,1978,Sun 11/12,NY Giants(5-6),13
21,1978,Sun 11/12,Washington(8-3),16
22,1978,Sun 11/19,St. Louis(4-8),27
23,1978,Sun 11/19,Washington(8-4),17
24,1978,Thu 11/23,Washington(8-5),10
25,1978,Thu 11/23,Dallas(9-4),37
26,1978,Sun 12/3,Miami(9-5),16
27,1978,Sun 12/3,Washington(8-6),0
28,1978,Sun 12/10,Washington(8-7),17
29,1978,Sun 12/10,Atlanta(9-6),20
30,1978,Sat 12/16,Chicago(7-9),14
31,1978,Sat 12/16,Washington(8-8),10
32,1978,"Saturday, August 5, 1978",Washington(0-1),13
33,1978,"Saturday, August 5, 1978",Minnesota(1-0),20
34,1978,"Friday, August 11, 1978",Green Bay(0-2),12
35,1978,"Friday, August 11, 1978",Washington(1-1),20
36,1978,"Friday, August 18, 1978",Washington(2-1),17
37,1978,"Friday, August 18, 1978",Baltimore(0-3),16
38,1978,"Friday, August 25, 1978",Atlanta(2-2),10
39,1978,"Friday, August 25, 1978",Washington(2-2),7
