,year,date,team,final
0,2019,Sun 9/8,Washington(0-1),27
1,2019,Sun 9/8,Philadelphia(1-0),32
2,2019,Sun 9/15,Dallas(2-0),31
3,2019,Sun 9/15,Washington(0-2),21
4,2019,Mon 9/23,Chicago(2-1),31
5,2019,Mon 9/23,Washington(0-3),15
6,2019,Sun 9/29,Washington(0-4),3
7,2019,Sun 9/29,NY Giants(2-2),24
8,2019,Sun 10/6,New England(5-0),33
9,2019,Sun 10/6,Washington(0-5),7
10,2019,Sun 10/13,Washington(1-5),17
11,2019,Sun 10/13,Miami(0-5),16
12,2019,Sun 10/20,San Francisco(6-0),9
13,2019,Sun 10/20,Washington(1-6),0
14,2019,Thu 10/24,Washington(1-7),9
15,2019,Thu 10/24,Minnesota(6-2),19
16,2019,Sun 11/3,Washington(1-8),9
17,2019,Sun 11/3,Buffalo(6-2),24
18,2019,Sun 11/17,NY Jets(3-7),34
19,2019,Sun 11/17,Washington(1-9),17
20,2019,Sun 11/24,Detroit(3-7-1),16
21,2019,Sun 11/24,Washington(2-9),19
22,2019,Sun 12/1,Washington(3-9),29
23,2019,Sun 12/1,Carolina(5-7),21
24,2019,Sun 12/8,Washington(3-10),15
25,2019,Sun 12/8,Green Bay(10-3),20
26,2019,Sun 12/15,Philadelphia(7-7),37
27,2019,Sun 12/15,Washington(3-11),27
28,2019,Sun 12/22,NY Giants(4-11),41
29,2019,Sun 12/22,Washington(3-12),35
30,2019,Sun 12/29,Washington(3-13),16
31,2019,Sun 12/29,Dallas(8-8),47
32,2019,Thu 8/8,Washington(0-1),10
33,2019,Thu 8/8,Cleveland(1-0),30
34,2019,Thu 8/15,Cincinnati(1-1),23
35,2019,Thu 8/15,Washington(0-2),13
36,2019,Thu 8/22,Washington(1-2),19
37,2019,Thu 8/22,Atlanta(0-4),7
38,2019,Thu 8/29,Baltimore(4-0),20
39,2019,Thu 8/29,Washington(1-3),7
