,year,date,team,q1,q2,q3,q4,final
0,1993,Mon 9/6,Dallas(0-1),6,0,7,3,16
1,1993,Mon 9/6,Washington(1-0),0,14,14,7,35
2,1993,Sun 9/12,Dallas(0-1),6,0,7,3,16
3,1993,Sun 9/12,Washington(1-0),0,14,14,7,35
4,1993,Sun 9/19,Dallas(0-1),6,0,7,3,16
5,1993,Sun 9/19,Washington(1-0),0,14,14,7,35
6,1993,Mon 10/4,Dallas(0-1),6,0,7,3,16
7,1993,Mon 10/4,Washington(1-0),0,14,14,7,35
8,1993,Sun 10/10,Dallas(0-1),6,0,7,3,16
9,1993,Sun 10/10,Washington(1-0),0,14,14,7,35
10,1993,Sun 10/17,Dallas(0-1),6,0,7,3,16
11,1993,Sun 10/17,Washington(1-0),0,14,14,7,35
12,1993,Mon 11/1,Dallas(0-1),6,0,7,3,16
13,1993,Mon 11/1,Washington(1-0),0,14,14,7,35
14,1993,Sun 11/7,Dallas(0-1),6,0,7,3,16
15,1993,Sun 11/7,Washington(1-0),0,14,14,7,35
16,1993,Sun 11/14,Dallas(0-1),6,0,7,3,16
17,1993,Sun 11/14,Washington(1-0),0,14,14,7,35
18,1993,Sun 11/21,Dallas(0-1),6,0,7,3,16
19,1993,Sun 11/21,Washington(1-0),0,14,14,7,35
20,1993,Sun 11/28,Dallas(0-1),6,0,7,3,16
21,1993,Sun 11/28,Washington(1-0),0,14,14,7,35
22,1993,Sun 12/5,Dallas(0-1),6,0,7,3,16
23,1993,Sun 12/5,Washington(1-0),0,14,14,7,35
24,1993,Sat 12/11,Dallas(0-1),6,0,7,3,16
25,1993,Sat 12/11,Washington(1-0),0,14,14,7,35
26,1993,Sun 12/19,Dallas(0-1),6,0,7,3,16
27,1993,Sun 12/19,Washington(1-0),0,14,14,7,35
28,1993,Sun 12/26,Dallas(0-1),6,0,7,3,16
29,1993,Sun 12/26,Washington(1-0),0,14,14,7,35
30,1993,Fri 12/31,Dallas(0-1),6,0,7,3,16
31,1993,Fri 12/31,Washington(1-0),0,14,14,7,35
32,1993,"Monday, August 9, 1993",Dallas(0-1),6,0,7,3,16
33,1993,"Monday, August 9, 1993",Washington(1-0),0,14,14,7,35
34,1993,"Saturday, August 14, 1993",Dallas(0-1),6,0,7,3,16
35,1993,"Saturday, August 14, 1993",Washington(1-0),0,14,14,7,35
36,1993,"Sunday, August 22, 1993",Dallas(0-1),6,0,7,3,16
37,1993,"Sunday, August 22, 1993",Washington(1-0),0,14,14,7,35
38,1993,"Friday, August 27, 1993",Dallas(0-1),6,0,7,3,16
39,1993,"Friday, August 27, 1993",Washington(1-0),0,14,14,7,35
