,year,date,team,q1,q2,q3,q4,final
0,2015,NFC Wild Card Game,Green Bay(10-6),0,17,7,11,35
1,2015,NFC Wild Card Game,Washington(9-7),5,6,7,0,18
2,2015,Sun 9/13,Green Bay(10-6),0,17,7,11,35
3,2015,Sun 9/13,Washington(9-7),5,6,7,0,18
4,2015,Sun 9/20,Green Bay(10-6),0,17,7,11,35
5,2015,Sun 9/20,Washington(9-7),5,6,7,0,18
6,2015,Thu 9/24,Green Bay(10-6),0,17,7,11,35
7,2015,Thu 9/24,Washington(9-7),5,6,7,0,18
8,2015,Sun 10/4,Green Bay(10-6),0,17,7,11,35
9,2015,Sun 10/4,Washington(9-7),5,6,7,0,18
10,2015,Sun 10/11,Green Bay(10-6),0,17,7,11,35
11,2015,Sun 10/11,Washington(9-7),5,6,7,0,18
12,2015,Sun 10/18,Green Bay(10-6),0,17,7,11,35
13,2015,Sun 10/18,Washington(9-7),5,6,7,0,18
14,2015,Sun 10/25,Green Bay(10-6),0,17,7,11,35
15,2015,Sun 10/25,Washington(9-7),5,6,7,0,18
16,2015,Sun 11/8,Green Bay(10-6),0,17,7,11,35
17,2015,Sun 11/8,Washington(9-7),5,6,7,0,18
18,2015,Sun 11/15,Green Bay(10-6),0,17,7,11,35
19,2015,Sun 11/15,Washington(9-7),5,6,7,0,18
20,2015,Sun 11/22,Green Bay(10-6),0,17,7,11,35
21,2015,Sun 11/22,Washington(9-7),5,6,7,0,18
22,2015,Sun 11/29,Green Bay(10-6),0,17,7,11,35
23,2015,Sun 11/29,Washington(9-7),5,6,7,0,18
24,2015,Mon 12/7,Green Bay(10-6),0,17,7,11,35
25,2015,Mon 12/7,Washington(9-7),5,6,7,0,18
26,2015,Sun 12/13,Green Bay(10-6),0,17,7,11,35
27,2015,Sun 12/13,Washington(9-7),5,6,7,0,18
28,2015,Sun 12/20,Green Bay(10-6),0,17,7,11,35
29,2015,Sun 12/20,Washington(9-7),5,6,7,0,18
30,2015,Sat 12/26,Green Bay(10-6),0,17,7,11,35
31,2015,Sat 12/26,Washington(9-7),5,6,7,0,18
32,2015,Sun 1/3,Green Bay(10-6),0,17,7,11,35
33,2015,Sun 1/3,Washington(9-7),5,6,7,0,18
34,2015,Thu 8/13,Green Bay(10-6),0,17,7,11,35
35,2015,Thu 8/13,Washington(9-7),5,6,7,0,18
36,2015,Thu 8/20,Green Bay(10-6),0,17,7,11,35
37,2015,Thu 8/20,Washington(9-7),5,6,7,0,18
38,2015,Sat 8/29,Green Bay(10-6),0,17,7,11,35
39,2015,Sat 8/29,Washington(9-7),5,6,7,0,18
40,2015,Thu 9/3,Green Bay(10-6),0,17,7,11,35
41,2015,Thu 9/3,Washington(9-7),5,6,7,0,18
