,year,date,team,q1,q2,q3,q4,final
0,1987,1987 NFC Divisional Playoff Game,Washington(11-4),0,14,7,0,21
1,1987,1987 NFC Divisional Playoff Game,Chicago(11-4),7,7,3,0,17
2,1987,1987 NFC Championship Game,Washington(11-4),0,14,7,0,21
3,1987,1987 NFC Championship Game,Chicago(11-4),7,7,3,0,17
4,1987,Super Bowl XXII,Washington(11-4),0,14,7,0,21
5,1987,Super Bowl XXII,Chicago(11-4),7,7,3,0,17
6,1987,Sun 9/13,Washington(11-4),0,14,7,0,21
7,1987,Sun 9/13,Chicago(11-4),7,7,3,0,17
8,1987,Sun 9/20,Washington(11-4),0,14,7,0,21
9,1987,Sun 9/20,Chicago(11-4),7,7,3,0,17
10,1987,Sun 10/4,Washington(11-4),0,14,7,0,21
11,1987,Sun 10/4,Chicago(11-4),7,7,3,0,17
12,1987,Sun 10/11,Washington(11-4),0,14,7,0,21
13,1987,Sun 10/11,Chicago(11-4),7,7,3,0,17
14,1987,Mon 10/19,Washington(11-4),0,14,7,0,21
15,1987,Mon 10/19,Chicago(11-4),7,7,3,0,17
16,1987,Sun 10/25,Washington(11-4),0,14,7,0,21
17,1987,Sun 10/25,Chicago(11-4),7,7,3,0,17
18,1987,Sun 11/1,Washington(11-4),0,14,7,0,21
19,1987,Sun 11/1,Chicago(11-4),7,7,3,0,17
20,1987,Sun 11/8,Washington(11-4),0,14,7,0,21
21,1987,Sun 11/8,Chicago(11-4),7,7,3,0,17
22,1987,Sun 11/15,Washington(11-4),0,14,7,0,21
23,1987,Sun 11/15,Chicago(11-4),7,7,3,0,17
24,1987,Mon 11/23,Washington(11-4),0,14,7,0,21
25,1987,Mon 11/23,Chicago(11-4),7,7,3,0,17
26,1987,Sun 11/29,Washington(11-4),0,14,7,0,21
27,1987,Sun 11/29,Chicago(11-4),7,7,3,0,17
28,1987,Sun 12/6,Washington(11-4),0,14,7,0,21
29,1987,Sun 12/6,Chicago(11-4),7,7,3,0,17
30,1987,Sun 12/13,Washington(11-4),0,14,7,0,21
31,1987,Sun 12/13,Chicago(11-4),7,7,3,0,17
32,1987,Sun 12/20,Washington(11-4),0,14,7,0,21
33,1987,Sun 12/20,Chicago(11-4),7,7,3,0,17
34,1987,Sat 12/26,Washington(11-4),0,14,7,0,21
35,1987,Sat 12/26,Chicago(11-4),7,7,3,0,17
36,1987,"Friday, August 14, 1987",Washington(11-4),0,14,7,0,21
37,1987,"Friday, August 14, 1987",Chicago(11-4),7,7,3,0,17
38,1987,"Saturday, August 22, 1987",Washington(11-4),0,14,7,0,21
39,1987,"Saturday, August 22, 1987",Chicago(11-4),7,7,3,0,17
40,1987,"Saturday, August 29, 1987",Washington(11-4),0,14,7,0,21
41,1987,"Saturday, August 29, 1987",Chicago(11-4),7,7,3,0,17
42,1987,"Saturday, September 5, 1987",Washington(11-4),0,14,7,0,21
43,1987,"Saturday, September 5, 1987",Chicago(11-4),7,7,3,0,17
