,year,date,team,final
0,2005,2005 NFC Wild Card Game,Washington(10-6),17
1,2005,2005 NFC Wild Card Game,Tampa Bay(11-5),10
2,2005,2005 NFC Divisional Playoff Game,Washington(10-6),10
3,2005,2005 NFC Divisional Playoff Game,Seattle(13-3),20
4,2005,Sun 9/11,Chicago(0-1),7
5,2005,Sun 9/11,Washington(1-0),9
6,2005,Mon 9/19,Washington(2-0),14
7,2005,Mon 9/19,Dallas(1-1),13
8,2005,Sun 10/2,Seattle(2-2),17
9,2005,Sun 10/2,Washington(3-0),20
10,2005,Sun 10/9,Washington(3-1),19
11,2005,Sun 10/9,Denver(4-1),21
12,2005,Sun 10/16,Washington(3-2),21
13,2005,Sun 10/16,Kansas City(3-2),28
14,2005,Sun 10/23,San Francisco(1-5),17
15,2005,Sun 10/23,Washington(4-2),52
16,2005,Sun 10/30,Washington(4-3),0
17,2005,Sun 10/30,NY Giants(5-2),36
18,2005,Sun 11/6,Philadelphia(4-4),10
19,2005,Sun 11/6,Washington(5-3),17
20,2005,Sun 11/13,Washington(5-4),35
21,2005,Sun 11/13,Tampa Bay(6-3),36
22,2005,Sun 11/20,Oakland(4-6),16
23,2005,Sun 11/20,Washington(5-5),13
24,2005,Sun 11/27,San Diego(7-4),23
25,2005,Sun 11/27,Washington(5-6),17
26,2005,Sun 12/4,Washington(6-6),24
27,2005,Sun 12/4,St. Louis(5-7),9
28,2005,Sun 12/11,Washington(7-6),17
29,2005,Sun 12/11,Arizona(4-9),13
30,2005,Sun 12/18,Dallas(8-6),7
31,2005,Sun 12/18,Washington(8-6),35
32,2005,Sat 12/24,NY Giants(10-5),20
33,2005,Sat 12/24,Washington(9-6),35
34,2005,Sun 1/1,Washington(10-6),31
35,2005,Sun 1/1,Philadelphia(6-10),20
36,2005,Sat 8/13,Washington(0-1),10
37,2005,Sat 8/13,Carolina(1-0),28
38,2005,Fri 8/19,Cincinnati(1-1),24
39,2005,Fri 8/19,Washington(0-2),17
40,2005,Fri 8/26,Pittsburgh(2-1),10
41,2005,Fri 8/26,Washington(1-2),17
42,2005,Thu 9/1,Washington(1-3),20
43,2005,Thu 9/1,Baltimore(2-2),26
