,year,date,team,final
0,2001,Sun 9/9,Washington(0-1),3
1,2001,Sun 9/9,San Diego(1-0),30
2,2001,Mon 9/24,Washington(0-2),0
3,2001,Mon 9/24,Green Bay(2-0),37
4,2001,Sun 9/30,Kansas City(1-2),45
5,2001,Sun 9/30,Washington(0-3),13
6,2001,Sun 10/7,Washington(0-4),9
7,2001,Sun 10/7,NY Giants(3-1),23
8,2001,Mon 10/15,Washington(0-5),7
9,2001,Mon 10/15,Dallas(1-4),9
10,2001,Sun 10/21,Carolina(1-5),14
11,2001,Sun 10/21,Washington(1-5),17
12,2001,Sun 10/28,NY Giants(3-4),21
13,2001,Sun 10/28,Washington(2-5),35
14,2001,Sun 11/4,Seattle(3-4),14
15,2001,Sun 11/4,Washington(3-5),27
16,2001,Sun 11/18,Washington(4-5),17
17,2001,Sun 11/18,Denver(5-5),10
18,2001,Sun 11/25,Washington(5-5),13
19,2001,Sun 11/25,Philadelphia(6-4),3
20,2001,Sun 12/2,Dallas(3-8),20
21,2001,Sun 12/2,Washington(5-6),14
22,2001,Sun 12/9,Washington(6-6),20
23,2001,Sun 12/9,Arizona(5-7),10
24,2001,Sun 12/16,Philadelphia(9-4),20
25,2001,Sun 12/16,Washington(6-7),6
26,2001,Sun 12/23,Chicago(11-3),20
27,2001,Sun 12/23,Washington(6-8),15
28,2001,Sun 12/30,Washington(7-8),40
29,2001,Sun 12/30,New Orleans(7-8),10
30,2001,Sun 1/6,Arizona(7-9),17
31,2001,Sun 1/6,Washington(8-8),20
32,2001,"Sunday, August 12, 2001",Washington(0-1),0
33,2001,"Sunday, August 12, 2001",Kansas City(1-0),20
34,2001,"Friday, August 17, 2001",Atlanta(2-1),27
35,2001,"Friday, August 17, 2001",Washington(0-2),6
36,2001,"Friday, August 24, 2001",Cleveland(2-1),25
37,2001,"Friday, August 24, 2001",Washington(1-2),27
38,2001,"Thursday, August 30, 2001",Washington(1-3),13
39,2001,"Thursday, August 30, 2001",New England(3-1),33
