,year,date,team,final
0,1982,1982 NFC Wild Card Game,Detroit(4-5),7
1,1982,1982 NFC Wild Card Game,Washington(8-1),31
2,1982,1982 NFC Divisional Playoff Game,Minnesota(5-4),7
3,1982,1982 NFC Divisional Playoff Game,Washington(8-1),21
4,1982,1982 NFC Championship Game,Dallas(6-3),17
5,1982,1982 NFC Championship Game,Washington(8-1),31
6,1982,Super Bowl XVII,Miami(7-2),17
7,1982,Super Bowl XVII,Washington(8-1),27
8,1982,Sun 9/12,Washington(1-0),37
9,1982,Sun 9/12,Philadelphia(0-1),34
10,1982,Sun 9/19,Washington(2-0),21
11,1982,Sun 9/19,Tampa Bay(0-2),13
12,1982,Sun 11/21,Washington(3-0),27
13,1982,Sun 11/21,NY Giants(0-3),17
14,1982,Sun 11/28,Philadelphia(1-3),9
15,1982,Sun 11/28,Washington(4-0),13
16,1982,Sun 12/5,Dallas(4-1),24
17,1982,Sun 12/5,Washington(4-1),10
18,1982,Sun 12/12,Washington(5-1),12
19,1982,Sun 12/12,St. Louis(3-3),7
20,1982,Sun 12/19,NY Giants(3-4),14
21,1982,Sun 12/19,Washington(6-1),15
22,1982,Sun 12/26,Washington(7-1),27
23,1982,Sun 12/26,New Orleans(3-5),10
24,1982,Sun 1/2,St. Louis(5-4),0
25,1982,Sun 1/2,Washington(8-1),28
26,1982,"Saturday, August 14, 1982",Washington(0-1),7
27,1982,"Saturday, August 14, 1982",Miami(1-0),24
28,1982,"Saturday, August 21, 1982",Washington(0-2),13
29,1982,"Saturday, August 21, 1982",Tampa Bay(2-0),28
30,1982,"Friday, August 27, 1982",Buffalo(2-1),20
31,1982,"Friday, August 27, 1982",Washington(0-3),14
32,1982,"Friday, September 3, 1982",Washington(0-4),21
33,1982,"Friday, September 3, 1982",Cincinnati(1-3),28
