,year,date,team,q1,q2,q3,q4,final
0,2000,Sun 9/3,Carolina(0-1),10,0,0,7,17
1,2000,Sun 9/3,Washington(1-0),7,0,3,10,20
2,2000,Sun 9/10,Carolina(0-1),10,0,0,7,17
3,2000,Sun 9/10,Washington(1-0),7,0,3,10,20
4,2000,Mon 9/18,Carolina(0-1),10,0,0,7,17
5,2000,Mon 9/18,Washington(1-0),7,0,3,10,20
6,2000,Sun 9/24,Carolina(0-1),10,0,0,7,17
7,2000,Sun 9/24,Washington(1-0),7,0,3,10,20
8,2000,Sun 10/1,Carolina(0-1),10,0,0,7,17
9,2000,Sun 10/1,Washington(1-0),7,0,3,10,20
10,2000,Sun 10/8,Carolina(0-1),10,0,0,7,17
11,2000,Sun 10/8,Washington(1-0),7,0,3,10,20
12,2000,Sun 10/15,Carolina(0-1),10,0,0,7,17
13,2000,Sun 10/15,Washington(1-0),7,0,3,10,20
14,2000,Sun 10/22,Carolina(0-1),10,0,0,7,17
15,2000,Sun 10/22,Washington(1-0),7,0,3,10,20
16,2000,Mon 10/30,Carolina(0-1),10,0,0,7,17
17,2000,Mon 10/30,Washington(1-0),7,0,3,10,20
18,2000,Sun 11/5,Carolina(0-1),10,0,0,7,17
19,2000,Sun 11/5,Washington(1-0),7,0,3,10,20
20,2000,Mon 11/20,Carolina(0-1),10,0,0,7,17
21,2000,Mon 11/20,Washington(1-0),7,0,3,10,20
22,2000,Sun 11/26,Carolina(0-1),10,0,0,7,17
23,2000,Sun 11/26,Washington(1-0),7,0,3,10,20
24,2000,Sun 12/3,Carolina(0-1),10,0,0,7,17
25,2000,Sun 12/3,Washington(1-0),7,0,3,10,20
26,2000,Sun 12/10,Carolina(0-1),10,0,0,7,17
27,2000,Sun 12/10,Washington(1-0),7,0,3,10,20
28,2000,Sat 12/16,Carolina(0-1),10,0,0,7,17
29,2000,Sat 12/16,Washington(1-0),7,0,3,10,20
30,2000,Sun 12/24,Carolina(0-1),10,0,0,7,17
31,2000,Sun 12/24,Washington(1-0),7,0,3,10,20
32,2000,"Friday, August 4, 2000",Carolina(0-1),10,0,0,7,17
33,2000,"Friday, August 4, 2000",Washington(1-0),7,0,3,10,20
34,2000,"Friday, August 11, 2000",Carolina(0-1),10,0,0,7,17
35,2000,"Friday, August 11, 2000",Washington(1-0),7,0,3,10,20
36,2000,"Saturday, August 19, 2000",Carolina(0-1),10,0,0,7,17
37,2000,"Saturday, August 19, 2000",Washington(1-0),7,0,3,10,20
38,2000,"Friday, August 25, 2000",Carolina(0-1),10,0,0,7,17
39,2000,"Friday, August 25, 2000",Washington(1-0),7,0,3,10,20
