,year,date,team,final
0,2012,2012 NFC Wild Card Game,Seattle(11-5),24
1,2012,2012 NFC Wild Card Game,Washington(10-6),14
2,2012,Sun 9/9,Washington(1-0),40
3,2012,Sun 9/9,New Orleans(0-1),32
4,2012,Sun 9/16,Washington(1-1),28
5,2012,Sun 9/16,St. Louis(1-1),31
6,2012,Sun 9/23,Cincinnati(2-1),38
7,2012,Sun 9/23,Washington(1-2),31
8,2012,Sun 9/30,Washington(2-2),24
9,2012,Sun 9/30,Tampa Bay(1-3),22
10,2012,Sun 10/7,Atlanta(5-0),24
11,2012,Sun 10/7,Washington(2-3),17
12,2012,Sun 10/14,Minnesota(4-2),26
13,2012,Sun 10/14,Washington(3-3),38
14,2012,Sun 10/21,Washington(3-4),23
15,2012,Sun 10/21,NY Giants(5-2),27
16,2012,Sun 10/28,Washington(3-5),12
17,2012,Sun 10/28,Pittsburgh(4-3),27
18,2012,Sun 11/4,Carolina(2-6),21
19,2012,Sun 11/4,Washington(3-6),13
20,2012,Sun 11/18,Philadelphia(3-7),6
21,2012,Sun 11/18,Washington(4-6),31
22,2012,Thu 11/22,Washington(5-6),38
23,2012,Thu 11/22,Dallas(5-6),31
24,2012,Mon 12/3,NY Giants(7-5),16
25,2012,Mon 12/3,Washington(6-6),17
26,2012,Sun 12/9,Baltimore(9-4),28
27,2012,Sun 12/9,Washington(7-6),31
28,2012,Sun 12/16,Washington(8-6),38
29,2012,Sun 12/16,Cleveland(5-9),21
30,2012,Sun 12/23,Washington(9-6),27
31,2012,Sun 12/23,Philadelphia(4-11),20
32,2012,Sun 12/30,Dallas(8-8),18
33,2012,Sun 12/30,Washington(10-6),28
34,2012,Thu 8/9,Washington(1-0),7
35,2012,Thu 8/9,Buffalo(0-1),6
36,2012,Sat 8/18,Washington(1-1),31
37,2012,Sat 8/18,Chicago(1-1),33
38,2012,Sat 8/25,Indianapolis(1-2),17
39,2012,Sat 8/25,Washington(2-1),30
40,2012,Wed 8/29,Tampa Bay(2-2),3
41,2012,Wed 8/29,Washington(3-1),30
