,year,date,team,final
0,1990,1990 NFC Wild Card Game,Washington(10-6),20
1,1990,1990 NFC Wild Card Game,Philadelphia(10-6),6
2,1990,1990 NFC Divisional Playoff Game,Washington(10-6),10
3,1990,1990 NFC Divisional Playoff Game,San Francisco(14-2),28
4,1990,Sun 9/9,Phoenix(0-1),0
5,1990,Sun 9/9,Washington(1-0),31
6,1990,Sun 9/16,Washington(1-1),13
7,1990,Sun 9/16,San Francisco(2-0),26
8,1990,Sun 9/23,Dallas(1-2),15
9,1990,Sun 9/23,Washington(2-1),19
10,1990,Sun 9/30,Washington(3-1),38
11,1990,Sun 9/30,Phoenix(1-3),10
12,1990,Sun 10/14,NY Giants(5-0),24
13,1990,Sun 10/14,Washington(3-2),20
14,1990,Sun 10/21,Philadelphia(2-4),7
15,1990,Sun 10/21,Washington(4-2),13
16,1990,Sun 10/28,Washington(4-3),10
17,1990,Sun 10/28,NY Giants(7-0),21
18,1990,Sun 11/4,Washington(5-3),41
19,1990,Sun 11/4,Detroit(3-5),38
20,1990,Mon 11/12,Washington(5-4),14
21,1990,Mon 11/12,Philadelphia(5-4),28
22,1990,Sun 11/18,New Orleans(4-6),17
23,1990,Sun 11/18,Washington(6-4),31
24,1990,Thu 11/22,Washington(6-5),17
25,1990,Thu 11/22,Dallas(5-7),27
26,1990,Sun 12/2,Miami(9-3),20
27,1990,Sun 12/2,Washington(7-5),42
28,1990,Sun 12/9,Chicago(10-3),9
29,1990,Sun 12/9,Washington(8-5),10
30,1990,Sat 12/15,Washington(9-5),25
31,1990,Sat 12/15,New England(1-13),10
32,1990,Sat 12/22,Washington(9-6),28
33,1990,Sat 12/22,Indianapolis(7-8),35
34,1990,Sun 12/30,Buffalo(13-3),14
35,1990,Sun 12/30,Washington(10-6),29
36,1990,"Saturday, August 11, 1990",Atlanta(1-0),31
37,1990,"Saturday, August 11, 1990",Washington(0-1),27
38,1990,"Friday, August 17, 1990",Pittsburgh(1-1),24
39,1990,"Friday, August 17, 1990",Washington(1-1),27
40,1990,"Saturday, August 25, 1990",Washington(2-1),31
41,1990,"Saturday, August 25, 1990",Cleveland(1-3),13
42,1990,"Friday, August 31, 1990",LA Rams(2-2),10
43,1990,"Friday, August 31, 1990",Washington(3-1),37
