,year,date,team,q1,q2,q3,q4,final
0,2013,Mon 9/9,Philadelphia(1-0),12,14,7,0,33
1,2013,Mon 9/9,Washington(0-1),7,0,7,13,27
2,2013,Sun 9/15,Philadelphia(1-0),12,14,7,0,33
3,2013,Sun 9/15,Washington(0-1),7,0,7,13,27
4,2013,Sun 9/22,Philadelphia(1-0),12,14,7,0,33
5,2013,Sun 9/22,Washington(0-1),7,0,7,13,27
6,2013,Sun 9/29,Philadelphia(1-0),12,14,7,0,33
7,2013,Sun 9/29,Washington(0-1),7,0,7,13,27
8,2013,Sun 10/13,Philadelphia(1-0),12,14,7,0,33
9,2013,Sun 10/13,Washington(0-1),7,0,7,13,27
10,2013,Sun 10/20,Philadelphia(1-0),12,14,7,0,33
11,2013,Sun 10/20,Washington(0-1),7,0,7,13,27
12,2013,Sun 10/27,Philadelphia(1-0),12,14,7,0,33
13,2013,Sun 10/27,Washington(0-1),7,0,7,13,27
14,2013,Sun 11/3,Philadelphia(1-0),12,14,7,0,33
15,2013,Sun 11/3,Washington(0-1),7,0,7,13,27
16,2013,Thu 11/7,Philadelphia(1-0),12,14,7,0,33
17,2013,Thu 11/7,Washington(0-1),7,0,7,13,27
18,2013,Sun 11/17,Philadelphia(1-0),12,14,7,0,33
19,2013,Sun 11/17,Washington(0-1),7,0,7,13,27
20,2013,Mon 11/25,Philadelphia(1-0),12,14,7,0,33
21,2013,Mon 11/25,Washington(0-1),7,0,7,13,27
22,2013,Sun 12/1,Philadelphia(1-0),12,14,7,0,33
23,2013,Sun 12/1,Washington(0-1),7,0,7,13,27
24,2013,Sun 12/8,Philadelphia(1-0),12,14,7,0,33
25,2013,Sun 12/8,Washington(0-1),7,0,7,13,27
26,2013,Sun 12/15,Philadelphia(1-0),12,14,7,0,33
27,2013,Sun 12/15,Washington(0-1),7,0,7,13,27
28,2013,Sun 12/22,Philadelphia(1-0),12,14,7,0,33
29,2013,Sun 12/22,Washington(0-1),7,0,7,13,27
30,2013,Sun 12/29,Philadelphia(1-0),12,14,7,0,33
31,2013,Sun 12/29,Washington(0-1),7,0,7,13,27
32,2013,Thu 8/8,Philadelphia(1-0),12,14,7,0,33
33,2013,Thu 8/8,Washington(0-1),7,0,7,13,27
34,2013,Mon 8/19,Philadelphia(1-0),12,14,7,0,33
35,2013,Mon 8/19,Washington(0-1),7,0,7,13,27
36,2013,Sat 8/24,Philadelphia(1-0),12,14,7,0,33
37,2013,Sat 8/24,Washington(0-1),7,0,7,13,27
38,2013,Thu 8/29,Philadelphia(1-0),12,14,7,0,33
39,2013,Thu 8/29,Washington(0-1),7,0,7,13,27
