,year,date,team,q1,q2,q3,q4,final
0,1989,Mon 9/11,NY Giants(1-0),7,7,0,13,27
1,1989,Mon 9/11,Washington(0-1),0,3,7,14,24
2,1989,Sun 9/17,NY Giants(1-0),7,7,0,13,27
3,1989,Sun 9/17,Washington(0-1),0,3,7,14,24
4,1989,Sun 9/24,NY Giants(1-0),7,7,0,13,27
5,1989,Sun 9/24,Washington(0-1),0,3,7,14,24
6,1989,Sun 10/1,NY Giants(1-0),7,7,0,13,27
7,1989,Sun 10/1,Washington(0-1),0,3,7,14,24
8,1989,Sun 10/8,NY Giants(1-0),7,7,0,13,27
9,1989,Sun 10/8,Washington(0-1),0,3,7,14,24
10,1989,Sun 10/15,NY Giants(1-0),7,7,0,13,27
11,1989,Sun 10/15,Washington(0-1),0,3,7,14,24
12,1989,Sun 10/22,NY Giants(1-0),7,7,0,13,27
13,1989,Sun 10/22,Washington(0-1),0,3,7,14,24
14,1989,Sun 10/29,NY Giants(1-0),7,7,0,13,27
15,1989,Sun 10/29,Washington(0-1),0,3,7,14,24
16,1989,Sun 11/5,NY Giants(1-0),7,7,0,13,27
17,1989,Sun 11/5,Washington(0-1),0,3,7,14,24
18,1989,Sun 11/12,NY Giants(1-0),7,7,0,13,27
19,1989,Sun 11/12,Washington(0-1),0,3,7,14,24
20,1989,Mon 11/20,NY Giants(1-0),7,7,0,13,27
21,1989,Mon 11/20,Washington(0-1),0,3,7,14,24
22,1989,Sun 11/26,NY Giants(1-0),7,7,0,13,27
23,1989,Sun 11/26,Washington(0-1),0,3,7,14,24
24,1989,Sun 12/3,NY Giants(1-0),7,7,0,13,27
25,1989,Sun 12/3,Washington(0-1),0,3,7,14,24
26,1989,Sun 12/10,NY Giants(1-0),7,7,0,13,27
27,1989,Sun 12/10,Washington(0-1),0,3,7,14,24
28,1989,Sun 12/17,NY Giants(1-0),7,7,0,13,27
29,1989,Sun 12/17,Washington(0-1),0,3,7,14,24
30,1989,Sat 12/23,NY Giants(1-0),7,7,0,13,27
31,1989,Sat 12/23,Washington(0-1),0,3,7,14,24
32,1989,Hall of Fame Game,NY Giants(1-0),7,7,0,13,27
33,1989,Hall of Fame Game,Washington(0-1),0,3,7,14,24
34,1989,"Saturday, August 12, 1989",NY Giants(1-0),7,7,0,13,27
35,1989,"Saturday, August 12, 1989",Washington(0-1),0,3,7,14,24
36,1989,"Monday, August 21, 1989",NY Giants(1-0),7,7,0,13,27
37,1989,"Monday, August 21, 1989",Washington(0-1),0,3,7,14,24
38,1989,"Friday, August 25, 1989",NY Giants(1-0),7,7,0,13,27
39,1989,"Friday, August 25, 1989",Washington(0-1),0,3,7,14,24
40,1989,"Friday, September 1, 1989",NY Giants(1-0),7,7,0,13,27
41,1989,"Friday, September 1, 1989",Washington(0-1),0,3,7,14,24
