,year,date,team,final
0,1997,Sun 8/31,Washington(1-0),24
1,1997,Sun 8/31,Carolina(0-1),10
2,1997,Sun 9/7,Washington(1-1),13
3,1997,Sun 9/7,Pittsburgh(1-1),14
4,1997,Sun 9/14,Arizona(1-2),13
5,1997,Sun 9/14,Washington(2-1),19
6,1997,Sun 9/28,Jacksonville(3-1),12
7,1997,Sun 9/28,Washington(3-1),24
8,1997,Sun 10/5,Washington(3-2),10
9,1997,Sun 10/5,Philadelphia(2-3),24
10,1997,Mon 10/13,Dallas(3-3),16
11,1997,Mon 10/13,Washington(4-2),21
12,1997,Sun 10/19,Washington(4-3),14
13,1997,Sun 10/19,Tennessee(3-4),28
14,1997,Sun 10/26,Baltimore(4-4),20
15,1997,Sun 10/26,Washington(4-4),17
16,1997,Sun 11/2,Washington(5-4),31
17,1997,Sun 11/2,Chicago(1-8),8
18,1997,Sun 11/9,Detroit(4-6),7
19,1997,Sun 11/9,Washington(6-4),30
20,1997,Sun 11/16,Washington(6-5),14
21,1997,Sun 11/16,Dallas(6-5),17
22,1997,Sun 11/23,NY Giants(7-4-1),7
23,1997,Sun 11/23,Washington(6-5-1),7
24,1997,Sun 11/30,St. Louis(3-10),23
25,1997,Sun 11/30,Washington(6-6-1),20
26,1997,Sun 12/7,Washington(7-6-1),38
27,1997,Sun 12/7,Arizona(3-11),28
28,1997,Sat 12/13,Washington(7-7-1),10
29,1997,Sat 12/13,NY Giants(9-5-1),30
30,1997,Sun 12/21,Philadelphia(6-9-1),32
31,1997,Sun 12/21,Washington(8-7-1),35
32,1997,"Saturday, August 2, 1997",Washington(1-0),20
33,1997,"Saturday, August 2, 1997",Tampa Bay(0-1),8
34,1997,"Saturday, August 9, 1997",Washington(2-0),18
35,1997,"Saturday, August 9, 1997",Tennessee(0-2),12
36,1997,"Saturday, August 16, 1997",Washington(3-0),35
37,1997,"Saturday, August 16, 1997",Atlanta(1-2),31
38,1997,"Thursday, August 21, 1997",Washington(3-1),7
39,1997,"Thursday, August 21, 1997",Miami(3-2),28
