,year,date,team,final
0,1998,Sun 9/6,Washington(0-1),24
1,1998,Sun 9/6,NY Giants(1-0),31
2,1998,Mon 9/14,San Francisco(2-0),45
3,1998,Mon 9/14,Washington(0-2),10
4,1998,Sun 9/20,Washington(0-3),14
5,1998,Sun 9/20,Seattle(3-0),24
6,1998,Sun 9/27,Denver(4-0),38
7,1998,Sun 9/27,Washington(0-4),16
8,1998,Sun 10/4,Dallas(3-2),31
9,1998,Sun 10/4,Washington(0-5),10
10,1998,Sun 10/11,Washington(0-6),12
11,1998,Sun 10/11,Philadelphia(1-5),17
12,1998,Sun 10/18,Washington(0-7),7
13,1998,Sun 10/18,Minnesota(6-0),41
14,1998,Sun 11/1,NY Giants(3-5),14
15,1998,Sun 11/1,Washington(1-7),21
16,1998,Sun 11/8,Washington(1-8),27
17,1998,Sun 11/8,Arizona(5-4),29
18,1998,Sun 11/15,Philadelphia(2-8),3
19,1998,Sun 11/15,Washington(2-8),28
20,1998,Sun 11/22,Arizona(6-5),45
21,1998,Sun 11/22,Washington(2-9),42
22,1998,Sun 11/29,Washington(3-9),29
23,1998,Sun 11/29,Oakland(7-5),19
24,1998,Sun 12/6,San Diego(5-8),20
25,1998,Sun 12/6,Washington(4-9),24
26,1998,Sun 12/13,Washington(5-9),28
27,1998,Sun 12/13,Carolina(2-12),25
28,1998,Sat 12/19,Tampa Bay(7-8),16
29,1998,Sat 12/19,Washington(6-9),20
30,1998,Sun 12/27,Washington(6-10),7
31,1998,Sun 12/27,Dallas(10-6),23
32,1998,"Saturday, August 8, 1998",Miami(1-0),19
33,1998,"Saturday, August 8, 1998",Washington(0-1),16
34,1998,"Saturday, August 15, 1998",Washington(1-1),27
35,1998,"Saturday, August 15, 1998",Tennessee(1-1),24
36,1998,"Saturday, August 22, 1998",New England(2-2),20
37,1998,"Saturday, August 22, 1998",Washington(1-2),17
38,1998,"Friday, August 28, 1998",Washington(1-3),17
39,1998,"Friday, August 28, 1998",Buffalo(2-2),27
