,year,date,team,final
0,2009,Sun 9/13,Washington(0-1),17
1,2009,Sun 9/13,NY Giants(1-0),23
2,2009,Sun 9/20,St. Louis(0-2),7
3,2009,Sun 9/20,Washington(1-1),9
4,2009,Sun 9/27,Washington(1-2),14
5,2009,Sun 9/27,Detroit(1-2),19
6,2009,Sun 10/4,Tampa Bay(0-4),13
7,2009,Sun 10/4,Washington(2-2),16
8,2009,Sun 10/11,Washington(2-3),17
9,2009,Sun 10/11,Carolina(1-3),20
10,2009,Sun 10/18,Kansas City(1-5),14
11,2009,Sun 10/18,Washington(2-4),6
12,2009,Mon 10/26,Philadelphia(4-2),27
13,2009,Mon 10/26,Washington(2-5),17
14,2009,Sun 11/8,Washington(2-6),17
15,2009,Sun 11/8,Atlanta(5-3),31
16,2009,Sun 11/15,Denver(6-3),17
17,2009,Sun 11/15,Washington(3-6),27
18,2009,Sun 11/22,Washington(3-7),6
19,2009,Sun 11/22,Dallas(7-3),7
20,2009,Sun 11/29,Washington(3-8),24
21,2009,Sun 11/29,Philadelphia(7-4),27
22,2009,Sun 12/6,New Orleans(12-0),33
23,2009,Sun 12/6,Washington(3-9),30
24,2009,Sun 12/13,Washington(4-9),34
25,2009,Sun 12/13,Oakland(4-9),13
26,2009,Mon 12/21,NY Giants(8-6),45
27,2009,Mon 12/21,Washington(4-10),12
28,2009,Sun 12/27,Dallas(10-5),17
29,2009,Sun 12/27,Washington(4-11),0
30,2009,Sun 1/3,Washington(4-12),20
31,2009,Sun 1/3,San Diego(13-3),23
32,2009,Thu 8/13,Washington(0-1),0
33,2009,Thu 8/13,Baltimore(1-0),23
34,2009,Sat 8/22,Pittsburgh(1-1),13
35,2009,Sat 8/22,Washington(1-1),17
36,2009,Fri 8/28,New England(2-1),27
37,2009,Fri 8/28,Washington(1-2),24
38,2009,Thu 9/3,Washington(1-3),17
39,2009,Thu 9/3,Jacksonville(1-3),24
