,year,date,team,q1,q2,q3,q4,final
0,2006,Mon 9/11,Minnesota(1-0),6,3,7,3,19
1,2006,Mon 9/11,Washington(0-1),3,10,3,0,16
2,2006,Sun 9/17,Minnesota(1-0),6,3,7,3,19
3,2006,Sun 9/17,Washington(0-1),3,10,3,0,16
4,2006,Sun 9/24,Minnesota(1-0),6,3,7,3,19
5,2006,Sun 9/24,Washington(0-1),3,10,3,0,16
6,2006,Sun 10/1,Minnesota(1-0),6,3,7,3,19
7,2006,Sun 10/1,Washington(0-1),3,10,3,0,16
8,2006,Sun 10/8,Minnesota(1-0),6,3,7,3,19
9,2006,Sun 10/8,Washington(0-1),3,10,3,0,16
10,2006,Sun 10/15,Minnesota(1-0),6,3,7,3,19
11,2006,Sun 10/15,Washington(0-1),3,10,3,0,16
12,2006,Sun 10/22,Minnesota(1-0),6,3,7,3,19
13,2006,Sun 10/22,Washington(0-1),3,10,3,0,16
14,2006,Sun 11/5,Minnesota(1-0),6,3,7,3,19
15,2006,Sun 11/5,Washington(0-1),3,10,3,0,16
16,2006,Sun 11/12,Minnesota(1-0),6,3,7,3,19
17,2006,Sun 11/12,Washington(0-1),3,10,3,0,16
18,2006,Sun 11/19,Minnesota(1-0),6,3,7,3,19
19,2006,Sun 11/19,Washington(0-1),3,10,3,0,16
20,2006,Sun 11/26,Minnesota(1-0),6,3,7,3,19
21,2006,Sun 11/26,Washington(0-1),3,10,3,0,16
22,2006,Sun 12/3,Minnesota(1-0),6,3,7,3,19
23,2006,Sun 12/3,Washington(0-1),3,10,3,0,16
24,2006,Sun 12/10,Minnesota(1-0),6,3,7,3,19
25,2006,Sun 12/10,Washington(0-1),3,10,3,0,16
26,2006,Sun 12/17,Minnesota(1-0),6,3,7,3,19
27,2006,Sun 12/17,Washington(0-1),3,10,3,0,16
28,2006,Sun 12/24,Minnesota(1-0),6,3,7,3,19
29,2006,Sun 12/24,Washington(0-1),3,10,3,0,16
30,2006,Sat 12/30,Minnesota(1-0),6,3,7,3,19
31,2006,Sat 12/30,Washington(0-1),3,10,3,0,16
32,2006,Sun 8/13,Minnesota(1-0),6,3,7,3,19
33,2006,Sun 8/13,Washington(0-1),3,10,3,0,16
34,2006,Sat 8/19,Minnesota(1-0),6,3,7,3,19
35,2006,Sat 8/19,Washington(0-1),3,10,3,0,16
36,2006,Sat 8/26,Minnesota(1-0),6,3,7,3,19
37,2006,Sat 8/26,Washington(0-1),3,10,3,0,16
38,2006,Thu 8/31,Minnesota(1-0),6,3,7,3,19
39,2006,Thu 8/31,Washington(0-1),3,10,3,0,16
