,year,date,team,final
0,2003,Thu 9/4,NY Jets(0-1),13
1,2003,Thu 9/4,Washington(1-0),16
2,2003,Sun 9/14,Washington(2-0),33
3,2003,Sun 9/14,Atlanta(1-1),31
4,2003,Sun 9/21,NY Giants(2-1),24
5,2003,Sun 9/21,Washington(2-1),21
6,2003,Sun 9/28,New England(2-2),17
7,2003,Sun 9/28,Washington(3-1),20
8,2003,Sun 10/5,Washington(3-2),25
9,2003,Sun 10/5,Philadelphia(2-2),27
10,2003,Sun 10/12,Tampa Bay(3-2),35
11,2003,Sun 10/12,Washington(3-3),13
12,2003,Sun 10/19,Washington(3-4),7
13,2003,Sun 10/19,Buffalo(4-3),24
14,2003,Sun 11/2,Washington(3-5),14
15,2003,Sun 11/2,Dallas(6-2),21
16,2003,Sun 11/9,Seattle(6-3),20
17,2003,Sun 11/9,Washington(4-5),27
18,2003,Sun 11/16,Washington(4-6),17
19,2003,Sun 11/16,Carolina(8-2),20
20,2003,Sun 11/23,Washington(4-7),23
21,2003,Sun 11/23,Miami(7-4),24
22,2003,Sun 11/30,New Orleans(6-6),24
23,2003,Sun 11/30,Washington(4-8),20
24,2003,Sun 12/7,Washington(5-8),20
25,2003,Sun 12/7,NY Giants(4-9),7
26,2003,Sun 12/14,Dallas(9-5),27
27,2003,Sun 12/14,Washington(5-9),0
28,2003,Sun 12/21,Washington(5-10),24
29,2003,Sun 12/21,Chicago(7-8),27
30,2003,Sat 12/27,Philadelphia(12-4),31
31,2003,Sat 12/27,Washington(5-11),7
32,2003,"Saturday, August 9, 2003",Washington(0-1),0
33,2003,"Saturday, August 9, 2003",Carolina(1-0),20
34,2003,"Saturday, August 16, 2003",New England(2-0),20
35,2003,"Saturday, August 16, 2003",Washington(0-2),13
36,2003,"Saturday, August 23, 2003",Baltimore(1-2),3
37,2003,"Saturday, August 23, 2003",Washington(1-2),24
38,2003,"Thursday, August 28, 2003",Washington(1-3),15
39,2003,"Thursday, August 28, 2003",Jacksonville(3-1),17
