,year,date,team,q1,q2,q3,q4,final
0,2008,Thu 9/4,Washington(0-1),0,7,0,0,7
1,2008,Thu 9/4,NY Giants(1-0),10,6,0,0,16
2,2008,Sun 9/14,Washington(0-1),0,7,0,0,7
3,2008,Sun 9/14,NY Giants(1-0),10,6,0,0,16
4,2008,Sun 9/21,Washington(0-1),0,7,0,0,7
5,2008,Sun 9/21,NY Giants(1-0),10,6,0,0,16
6,2008,Sun 9/28,Washington(0-1),0,7,0,0,7
7,2008,Sun 9/28,NY Giants(1-0),10,6,0,0,16
8,2008,Sun 10/5,Washington(0-1),0,7,0,0,7
9,2008,Sun 10/5,NY Giants(1-0),10,6,0,0,16
10,2008,Sun 10/12,Washington(0-1),0,7,0,0,7
11,2008,Sun 10/12,NY Giants(1-0),10,6,0,0,16
12,2008,Sun 10/19,Washington(0-1),0,7,0,0,7
13,2008,Sun 10/19,NY Giants(1-0),10,6,0,0,16
14,2008,Sun 10/26,Washington(0-1),0,7,0,0,7
15,2008,Sun 10/26,NY Giants(1-0),10,6,0,0,16
16,2008,Mon 11/3,Washington(0-1),0,7,0,0,7
17,2008,Mon 11/3,NY Giants(1-0),10,6,0,0,16
18,2008,Sun 11/16,Washington(0-1),0,7,0,0,7
19,2008,Sun 11/16,NY Giants(1-0),10,6,0,0,16
20,2008,Sun 11/23,Washington(0-1),0,7,0,0,7
21,2008,Sun 11/23,NY Giants(1-0),10,6,0,0,16
22,2008,Sun 11/30,Washington(0-1),0,7,0,0,7
23,2008,Sun 11/30,NY Giants(1-0),10,6,0,0,16
24,2008,Sun 12/7,Washington(0-1),0,7,0,0,7
25,2008,Sun 12/7,NY Giants(1-0),10,6,0,0,16
26,2008,Sun 12/14,Washington(0-1),0,7,0,0,7
27,2008,Sun 12/14,NY Giants(1-0),10,6,0,0,16
28,2008,Sun 12/21,Washington(0-1),0,7,0,0,7
29,2008,Sun 12/21,NY Giants(1-0),10,6,0,0,16
30,2008,Sun 12/28,Washington(0-1),0,7,0,0,7
31,2008,Sun 12/28,NY Giants(1-0),10,6,0,0,16
32,2008,Hall of Fame Game,Washington(0-1),0,7,0,0,7
33,2008,Hall of Fame Game,NY Giants(1-0),10,6,0,0,16
34,2008,Sat 8/9,Washington(0-1),0,7,0,0,7
35,2008,Sat 8/9,NY Giants(1-0),10,6,0,0,16
36,2008,Sat 8/16,Washington(0-1),0,7,0,0,7
37,2008,Sat 8/16,NY Giants(1-0),10,6,0,0,16
38,2008,Sat 8/23,Washington(0-1),0,7,0,0,7
39,2008,Sat 8/23,NY Giants(1-0),10,6,0,0,16
40,2008,Thu 8/28,Washington(0-1),0,7,0,0,7
41,2008,Thu 8/28,NY Giants(1-0),10,6,0,0,16
