,year,date,team,final
0,2014,Sun 9/7,Washington(0-1),6
1,2014,Sun 9/7,Houston(1-0),17
2,2014,Sun 9/14,Jacksonville(0-2),10
3,2014,Sun 9/14,Washington(1-1),41
4,2014,Sun 9/21,Washington(1-2),34
5,2014,Sun 9/21,Philadelphia(3-0),37
6,2014,Thu 9/25,NY Giants(2-2),45
7,2014,Thu 9/25,Washington(1-3),14
8,2014,Mon 10/6,Seattle(3-1),27
9,2014,Mon 10/6,Washington(1-4),17
10,2014,Sun 10/12,Washington(1-5),20
11,2014,Sun 10/12,Arizona(4-1),30
12,2014,Sun 10/19,Tennessee(2-5),17
13,2014,Sun 10/19,Washington(2-5),19
14,2014,Mon 10/27,Washington(3-5),20
15,2014,Mon 10/27,Dallas(6-2),17
16,2014,Sun 11/2,Washington(3-6),26
17,2014,Sun 11/2,Minnesota(4-5),29
18,2014,Sun 11/16,Tampa Bay(2-8),27
19,2014,Sun 11/16,Washington(3-7),7
20,2014,Sun 11/23,Washington(3-8),13
21,2014,Sun 11/23,San Francisco(7-4),17
22,2014,Sun 11/30,Washington(3-9),27
23,2014,Sun 11/30,Indianapolis(8-4),49
24,2014,Sun 12/7,St. Louis(6-7),24
25,2014,Sun 12/7,Washington(3-10),0
26,2014,Sun 12/14,Washington(3-11),13
27,2014,Sun 12/14,NY Giants(5-9),24
28,2014,Sat 12/20,Philadelphia(9-6),24
29,2014,Sat 12/20,Washington(4-11),27
30,2014,Sun 12/28,Dallas(12-4),44
31,2014,Sun 12/28,Washington(4-12),17
32,2014,Thu 8/7,New England(0-1),6
33,2014,Thu 8/7,Washington(1-0),23
34,2014,Mon 8/18,Cleveland(0-2),23
35,2014,Mon 8/18,Washington(2-0),24
36,2014,Sat 8/23,Washington(2-1),17
37,2014,Sat 8/23,Baltimore(3-0),23
38,2014,Thu 8/28,Washington(3-1),24
39,2014,Thu 8/28,Tampa Bay(1-3),10
