,year,date,team,final
0,1981,Sun 9/6,Dallas(1-0),26
1,1981,Sun 9/6,Washington(0-1),10
2,1981,Sun 9/13,NY Giants(1-1),17
3,1981,Sun 9/13,Washington(0-2),7
4,1981,Sun 9/20,Washington(0-3),30
5,1981,Sun 9/20,St. Louis(1-2),40
6,1981,Sun 9/27,Washington(0-4),13
7,1981,Sun 9/27,Philadelphia(4-0),36
8,1981,Sun 10/4,San Francisco(3-2),30
9,1981,Sun 10/4,Washington(0-5),17
10,1981,Sun 10/11,Washington(1-5),24
11,1981,Sun 10/11,Chicago(1-5),7
12,1981,Sun 10/18,Washington(1-6),10
13,1981,Sun 10/18,Miami(5-1-1),13
14,1981,Sun 10/25,New England(2-6),22
15,1981,Sun 10/25,Washington(2-6),24
16,1981,Sun 11/1,St. Louis(3-6),21
17,1981,Sun 11/1,Washington(3-6),42
18,1981,Sun 11/8,Detroit(4-6),31
19,1981,Sun 11/8,Washington(4-6),33
20,1981,Sun 11/15,Washington(5-6),30
21,1981,Sun 11/15,NY Giants(5-6),27
22,1981,Sun 11/22,Washington(5-7),10
23,1981,Sun 11/22,Dallas(9-3),24
24,1981,Sun 11/29,Washington(5-8),14
25,1981,Sun 11/29,Buffalo(8-5),21
26,1981,Sun 12/6,Philadelphia(9-5),13
27,1981,Sun 12/6,Washington(6-8),15
28,1981,Sun 12/13,Baltimore(1-14),14
29,1981,Sun 12/13,Washington(7-8),38
30,1981,Sun 12/20,Washington(8-8),30
31,1981,Sun 12/20,Los Angeles(6-10),7
32,1981,"Friday, August 7, 1981",Kansas City(0-1),10
33,1981,"Friday, August 7, 1981",Washington(1-0),16
34,1981,"Friday, August 14, 1981",Minnesota(0-2),13
35,1981,"Friday, August 14, 1981",Washington(2-0),27
36,1981,"Saturday, August 22, 1981",Washington(3-0),13
37,1981,"Saturday, August 22, 1981",Baltimore(0-3),7
38,1981,"Sunday, August 30, 1981",Washington(3-1),10
39,1981,"Sunday, August 30, 1981",New England(4-0),19
