,year,date,team,q1,q2,q3,q4,final
0,2016,Mon 9/12,Pittsburgh(1-0),0,14,10,14,38
1,2016,Mon 9/12,Washington(0-1),6,0,3,7,16
2,2016,Sun 9/18,Pittsburgh(1-0),0,14,10,14,38
3,2016,Sun 9/18,Washington(0-1),6,0,3,7,16
4,2016,Sun 9/25,Pittsburgh(1-0),0,14,10,14,38
5,2016,Sun 9/25,Washington(0-1),6,0,3,7,16
6,2016,Sun 10/2,Pittsburgh(1-0),0,14,10,14,38
7,2016,Sun 10/2,Washington(0-1),6,0,3,7,16
8,2016,Sun 10/9,Pittsburgh(1-0),0,14,10,14,38
9,2016,Sun 10/9,Washington(0-1),6,0,3,7,16
10,2016,Sun 10/16,Pittsburgh(1-0),0,14,10,14,38
11,2016,Sun 10/16,Washington(0-1),6,0,3,7,16
12,2016,Sun 10/23,Pittsburgh(1-0),0,14,10,14,38
13,2016,Sun 10/23,Washington(0-1),6,0,3,7,16
14,2016,Sun 10/30,Pittsburgh(1-0),0,14,10,14,38
15,2016,Sun 10/30,Washington(0-1),6,0,3,7,16
16,2016,Sun 11/13,Pittsburgh(1-0),0,14,10,14,38
17,2016,Sun 11/13,Washington(0-1),6,0,3,7,16
18,2016,Sun 11/20,Pittsburgh(1-0),0,14,10,14,38
19,2016,Sun 11/20,Washington(0-1),6,0,3,7,16
20,2016,Thu 11/24,Pittsburgh(1-0),0,14,10,14,38
21,2016,Thu 11/24,Washington(0-1),6,0,3,7,16
22,2016,Sun 12/4,Pittsburgh(1-0),0,14,10,14,38
23,2016,Sun 12/4,Washington(0-1),6,0,3,7,16
24,2016,Sun 12/11,Pittsburgh(1-0),0,14,10,14,38
25,2016,Sun 12/11,Washington(0-1),6,0,3,7,16
26,2016,Mon 12/19,Pittsburgh(1-0),0,14,10,14,38
27,2016,Mon 12/19,Washington(0-1),6,0,3,7,16
28,2016,Sat 12/24,Pittsburgh(1-0),0,14,10,14,38
29,2016,Sat 12/24,Washington(0-1),6,0,3,7,16
30,2016,Sun 1/1,Pittsburgh(1-0),0,14,10,14,38
31,2016,Sun 1/1,Washington(0-1),6,0,3,7,16
32,2016,Thu 8/11,Pittsburgh(1-0),0,14,10,14,38
33,2016,Thu 8/11,Washington(0-1),6,0,3,7,16
34,2016,Fri 8/19,Pittsburgh(1-0),0,14,10,14,38
35,2016,Fri 8/19,Washington(0-1),6,0,3,7,16
36,2016,Fri 8/26,Pittsburgh(1-0),0,14,10,14,38
37,2016,Fri 8/26,Washington(0-1),6,0,3,7,16
38,2016,Wed 8/31,Pittsburgh(1-0),0,14,10,14,38
39,2016,Wed 8/31,Washington(0-1),6,0,3,7,16
